Jogador	Golos	Assistências	Duelos ganhos, %	Ações defensivas com êxito/90	Passes certos, %
Mirandinha	1	2	44,44	5,49	69,32
Silvio	6	4	38,29	3,94	74,81
P. Monteiro	5	1	42,08	2,98	71,43
Zé Paulo	2	2	47,06	4,5	80,73
Paulo Josue	8	9	42,34	4,86	65,96
Rodrigo Pimpão	0	0	37,6	5,36	71,05
Jhon Cley	11	1	42,03	2,59	78,6
Felipe Garcia	15	1	37,44	4,58	72,25
B. Cunha Cantanhede	12	0	42,32	2,43	71,08
Diogo	7	4	36,67	3,37	80,69
Jefferson da Silva	9	3	40,31	2,68	76,7
Mychell Chagas	4	0	47,45	5,56	77,36
Aloísio	12	4	35,19	2,98	68,83
Denner	0	1	38,16	2,92	80
Dori	17	3	49,45	2,98	84,03
J. Fernandes	8	2	33,72	3,71	70,28
Jean Moser	1	1	40,83	1,82	77,32
Gustavo Coutinho	15	2	29,37	3,07	70,14
Gabriel Honório	8	5	39,44	3,99	74,84
Stenio Junior	7	4	46,72	4,71	78,34
Maxuell	5	1	36,63	3,46	71,85
Gustavo Marmentini	2	0	39,43	5,39	80
Felipe	1	0	38,83	5,95	59,52
Fernando Viana	6	2	40,56	4,49	72,06
Cristiano	4	2	36,81	4,13	68,56
Wander	9	1	33,26	2,06	72,14
Patrick Luan	3	2	37,62	5,49	71,48
Yuri Jonathan	10	4	40,96	2,77	72,51
Thiago Alagoano	1	1	33,13	2,92	79,94
Renatinho	1	6	45,05	5,75	76,28
Ricardo Bueno	2	1	41,37	2,66	82,68
Lohan	3	0	38,11	2,79	81,22
Careca	3	1	43,2	3	82,22
Yann Rolim	4	3	47,74	6,44	76,17
Cleiton Silva	12	2	38,03	3,69	83,56
Kleiton	2	2	39,17	5,82	80,86
Nilson	13	1	35,78	2,73	76,12
Rodrigo Dias	3	0	41,46	2,24	74,64
Kaio Nunes	2	2	49,59	5,85	69,41
Vágner Love	23	8	31	2,7	76,28
Mosquito	10	2	34,85	3,11	76,42
Paulo Sérgio	8	0	33,51	3,15	78,09
Derley	4	4	38,41	2,4	76,92
Juninho	8	2	39,29	3,29	78,78
Fabrício	4	0	37,32	4,29	64,66
Ramon Machado	19	4	38,69	4,35	66,67
Matheus Souza	6	1	37,18	4,86	81,56
David da Silva	27	7	39,1	2,76	71,75
Everton Nascimento	8	5	42,06	2,65	72,15
Adler	7	1	40,65	3,07	64,77
A. Becker	7	0	36,77	4,47	74,91
Valdeci	2	0	40,07	7,38	68,57
R. Ramires	14	1	28,41	3,46	79,81
Jonata	8	0	34,44	4,35	74,45
Kelvin	2	0	29,7	2,94	78,88
Brandão	2	2	44,85	4,59	73,42
Devid	4	0	38,87	4,36	79,5
Marcus Índio	8	8	40,89	5,79	71,29
Adriano Michael Jackson	2	0	32,38	1,95	78,13
Bernardo	3	0	33,9	1,4	73,6
Léo Passos	2	0	39,93	6,76	63,55
Thiago Henrique	1	1	40	4,97	70,42
Nenê Bonilha	1	0	40,65	3,88	86,37
Bruno Lopes	3	0	30,24	4,38	68,6
Matheus Cassini	6	1	43,64	2,5	78,64
Élton	3	0	28,32	3,05	68,83
Dé	3	1	42,15	8,35	73,13
Wilkson	2	0	32,95	3,71	75,51
Diego Quirino	7	0	30,74	3,23	78,29
Victor Andrade	0	0	50	4,51	74,1
Éderson	1	0	39,34	3,18	76,15
Fernando Boldrin	0	2	37,01	3,07	87,55
Nick Firmino	17	5	42,98	5,29	87,84
Ramon Lopes	0	1	31,45	3,34	68,66
Matheus Alves	6	1	38,66	3,23	64,47
Léo Bahia	2	0	35,34	3,18	67,57
Gleyson Oliveira	13	2	37,37	5,19	68,9
Edgar Bruno	7	2	36,86	3,53	75,09
Wellington Tanque	6	0	39,54	4,64	66,78
João Magno	12	3	38,54	3,86	71,29
Michael Thuique	4	2	35,28	5,58	72,38
Mateus Lima	6	0	31	2,63	81,9
Wellington Paulista	7	0	37,86	2,5	74,36
Felipe Azevedo	7	2	41,54	5,59	73,43
Erikys	20	7	45,69	3,82	75,64
Allef	0	1	38,94	3	77,5
Gustavo Tocantins	16	5	43,21	2,19	82,6
Nenê	9	7	40,67	2,54	67,94
Cassiano	9	2	38,51	4,48	65,57
Madison	3	1	44,13	7,75	80,11
Álvaro	4	0	38,33	2,42	77,5
Gerson Magrão	2	1	44,16	4,9	76
Jô	2	0	33,09	3,89	71,43
Nicolas	3	0	42,74	4,42	66,67
Kayke	2	1	29,25	2,15	78,85
Igor Henrique	7	2	46,14	7,85	79,82
Caio Dantas	10	2	33,12	4,4	75,54
Osman	5	1	39,3	5,48	70,49
Guilherme Beléa	1	0	42,86	3,82	66,99
Ronivaldo	21	4	39,06	3,82	70,07
João Marcos	7	1	32,05	2,89	79,34
Stéfano Pinho	1	1	31,25	2,81	84,67
Anselmo Ramon	16	5	37,51	3,06	74,85
Daniel Amorim	13	0	38,38	2,11	81,34
Tauã	11	8	35,41	2,24	75,71
Olavio	12	3	28,16	2,09	72,04
W. Priori	2	1	43,07	7,08	74,46
Rafael Martins	7	0	36,57	3,23	70,67
L. Lima	4	1	37,71	5	72,88
