Jogador	Equipe	Minutos jogados:	Golos	Assistências	Duelos ganhos, %	Altura	Duelos defensivos ganhos, %	Duelos aéreos ganhos, %	Interseções/90	Golos sem ser por penálti	Golos esperados/90	Golos de cabeça	Golos de cabeça/90	Remate	Remates à baliza, %	Golos marcados, %	Cruzamentos certos, %	Cruzamentos precisos do flanco esquerdo, %	Cruzamentos precisos do flanco direito, %	Dribles/90	Dribles com sucesso, %	Duelos ofensivos ganhos, %	Passes certos, %	Passes para a frente certos, %	Passes para trás certos, %	Passes laterais certos, %	Passes curtos / médios precisos, %	Passes longos certos, %	Passes inteligentes certos, %	Passes certos para terço final, %	Passes precisos para a área de penálti, %	Passes em profundidade certos, %	Passes progressivos certos, %
Conrado	FLC Thanh Hoa	1578	6	2	36,44	178	53,66	41,3	1,71	5	0,5	0	0	55	43,64	10,909	26,09	30,77	22,22	5,08	57,3	35,94	78,03	54,55	92,63	78,16	82,8	66,67	66,67	61,54	39,13	25	84,38
Bruno Mezenga	Santos	1466	8	0	38,13	185	48,48	41,38	1,47	8	0,26	4	0,25	40	50	20	40	50	33,33	1,04	47,06	24,39	72,57	50,85	90,14	72,58	74,77	53,33	37,5	60,87	40	28,57	47,37
Jorge Eduardo	Visakha	690	1	0	36,48	179	45,45	20	2,35	1	0,27	0	0	21	52,38	4,762	33,33	25	36,36	4,7	58,33	39,08	73,73	70,15	87,04	70,83	77,84	50	20	88	46,15	40	77,5
Rodrigo Maranhão	Nakhon Si United	3229	15	4	44,14	179	63,25	28,36	1,92	11	0,39	1	0,03	110	43,64	13,636	36,76	42,42	31,43	5,27	66,14	44,32	77,94	69,68	91,4	78,4	83,36	62,67	55	68,54	54,88	39,13	80,88
Thuram	Pendikspor	2770	11	1	33,14	183	50	28,87	1,2	11	0,31	5	0,16	58	46,55	18,966	16,67	0	18,75	2,21	44,12	30,22	79,97	61,02	87,34	81,46	81,61	72,22	14,29	65,38	45,83	12,5	74
Diego Carioca	Kolos Kovalivka	893	1	0	41,06	177	68,09	25	3,12	0	0,19	0	0	19	26,32	5,263	6,67	8,33	0	5,24	34,62	36,81	77,73	61,54	98,18	72,73	84,85	56,25	50	66,67	31,58	0	61,11
Gabriel Bispo	KuPS	2198	4	1	38,39	177	64,42	32,81	3,07	4	0,32	1	0,04	70	28,57	5,714	30	25	31,25	1,47	52,78	30,3	81,85	68,09	90,48	79,14	85,21	58,62	20	74	54,17	42,86	67,21
Tardeli	Port FC	2903	15	3	42,01	185	56,38	40,46	2,4	10	0,48	3	0,1	105	37,14	12,381	15	14,29	16,67	3,07	50	39,86	69,26	54,19	90,23	69,32	75,24	45	26,32	52,27	50	27,78	68,6
Jackson	İstanbulspor	2087	7	3	41,81	178	52,29	27,78	2,22	2	0,4	0	0	45	42,22	15,556	25,53	26,67	23,53	3,99	52,27	44	76,76	65,6	92	76,56	82,38	52,31	40	64,76	44,71	36,36	73,79
Léo Gamalho	Vitória	2476	12	2	40,5	188	50	42,69	0,97	8	0,41	4	0,15	55	38,18	21,818	53,85	75	44,44	0,67	44,44	38,79	84,74	77,45	93,08	80,87	86,76	61,11	42,86	78,57	62,96	33,33	78
Lucas de Vega		1179	0	0	43,75	180	56	42,31	2,19	0	0,02	0	0	5	20	0	12,5	16,67	0	1,56	60	34,57	85,09	72,12	97,44	89,01	87,67	50	57,14	73,08	38,46	30	81,25
Luiz Henrique	Brusque	578	0	1	48,48	171	61,36	46,67	3,27	0	0,08	0	0	13	23,08	0	22,22	100	12,5	2,8	50	45	87,12	79,07	98,41	91,09	90,53	72,73	100	89,29	30,77	60	82,98
Tharcysio		743	0	0	33,94	185	68,18	30,77	1,94	0	0,24	0	0	15	33,33	0	33,33	0	50	1,57	38,46	25,4	81,58	45,45	97,56	83,33	83,96	60	14,29	46,15	12,5	0	87,5
Anselmo	Al Wehda	3440	6	1	44,11	182	53,25	38,39	3,24	6	0,19	1	0,03	70	30	8,571	30,77	33,33	27,27	4,21	55,28	42,06	84,06	69,15	96	88,79	88,72	57,26	41,38	66,84	49,23	35,71	79,02
Diego Souza	Sport Recife	738	3	0	33,77	186	40	40	0,85	3	0,22	2	0,24	11	54,55	27,273	40	66,67	0	1,22	40	26,32	77,39	62	90,48	86,21	79,57	50	28,57	72,41	52,63	29,41	78,95
Iago Dias	Londrina	1972	2	1	37,75	175	51,25	25,47	1,55	2	0,16	1	0,05	39	20,51	5,128	20,37	20	20,69	3,79	62,65	42,49	72,73	59,43	95,83	71,64	83,33	44,83	44,44	71,11	36,36	27,27	70
Zé Vitor	Londrina	1411	2	0	32,94	182	64,29	35,42	0,83	2	0,29	0	0	34	29,41	5,882	20	33,33	0	0,7	45,45	25,96	75	47,06	89,06	86,05	76,92	66,67	66,67	58,82	41,67	75	66,67
Jonny	Hamrun Spartans	1706	4	2	41,46	0	55,65	38,46	2,43	3	0,2	1	0,06	41	34,15	7,317	28,89	16,67	33,33	5,74	43,27	35,53	68,88	48,53	83,53	75	74,84	66,67	12,5	66,67	45,65	0	81,13
Jô Batista	Chaves	556	2	0	31,87	192	42,86	33,8	3,72	2	0,56	0	0	17	47,06	11,765	0	0	0	3,88	37,5	28,57	71,43	30	94,74	70	73,53	0	0	50	100	0	66,67
Dudu	Nacional	2798	6	3	36,89	179	53,64	31,33	2,64	3	0,32	0	0	48	47,92	12,5	30,77	25	33,33	3,18	49,49	35,23	83,5	70,79	92,66	85,19	86,43	88,89	0	73,08	43,48	0	73,33
Salatiel	Botafogo SP	2757	8	2	30,12	187	52,59	23,56	1,6	6	0,26	1	0,03	47	34,04	17,021	15,79	25	10	2,02	38,71	27,25	74,58	59,76	85,55	71,77	76,79	75	16,67	65,91	42,86	11,11	72,22
Juninho Rocha	Gimpo Citizen	1546	4	2	41,75	170	60,71	22,86	1,98	4	0,18	0	0	37	40,54	10,811	21,74	12,5	23,68	9,2	58,23	45,62	67,53	60,29	84,06	61,11	76,68	44,44	20	85,19	34,15	16,67	66
Crislan	Bhayangkara F.C.	2517	11	1	40,03	190	50	50,64	1,9	11	0,3	4	0,14	65	41,54	16,923	27,27	30	0	1,22	35,29	27,69	68,96	56,04	89,74	66,98	72,21	40,91	0	52,54	43,48	0	73,68
Diego Jardel	Londrina	1390	1	0	41,89	180	41,33	28,57	1,73	1	0,14	1	0,07	24	29,17	4,167	15,38	11,11	25	4,08	55,93	43,62	73,66	63,79	92,19	72,18	81,45	39,29	42,86	66,15	18,75	18,18	68,89
Alex Sandro	Tombense	2008	9	2	46,78	175	65,33	26,19	1,34	9	0,39	1	0,04	62	33,87	14,516	40	30,77	40	3,94	51,14	43,62	80,2	67,57	95,4	78,57	84,59	61,29	45,45	83,33	47,37	33,33	92,31
Gabriel Santos	Sport Recife	1443	5	1	33,69	185	44,33	33,33	1,62	5	0,19	2	0,12	31	38,71	16,129	14,29	0	18,52	4,3	42,03	30,41	68,2	64,15	92,42	60,44	76,15	77,78	25	65,52	24	50	73,68
Matheus Lucas	Pouso Alegre	1500	4	2	37,38	180	50,85	29,46	1,36	4	0,49	1	0,06	51	35,29	7,843	0	0	0	3,03	53,06	40	77,63	62,5	93,48	80	82,41	66,67	100	75	20	100	66,67
Thomás	Gwangju	1962	3	2	52,3	180	57,14	13,33	1,65	3	0,1	0	0	27	40,74	11,111	34,88	40	30,43	5,87	71,09	59,68	84	75,53	96	83,59	88,84	64,29	25	83,33	53,33	0	87,04
Júnior Brandao	Madura United	1256	7	2	30,45	187	48,65	33,33	1,5	7	0,39	0	0	33	48,48	21,212	46,15	50	42,86	1,22	47,06	24,77	70,92	65,63	85,71	62,22	72,53	100	0	71,43	57,14	0	65
Zé Paulo	Hồng Lĩnh Hà Tĩnh	2326	6	2	45,4	189	56,16	51,52	2,17	4	0,17	2	0,08	38	28,95	15,789	21,43	25	22,22	4,22	55,96	42,69	79,91	62,56	95,16	86,15	82,89	63,49	64,71	64,42	45,95	33,33	84,78
P. Monteiro	Tirana	1572	7	1	40,88	177	63,04	26,67	1,6	7	0,38	0	0	41	51,22	17,073	23,4	27,27	14,29	4,87	60	40,7	70,45	55,71	89,23	61,9	77,57	50	42,86	45,83	26	50	70,73
Mirandinha	Paysandu	1105	1	2	42,29	179	51,43	34,62	1,95	1	0,25	0	0	41	26,83	2,439	34,62	31,82	50	7,41	50,55	41,45	69,35	57,45	82,35	71,7	77,63	22,22	0	57,14	68,42	0	65,71
Silvio	Renofa Yamaguchi	1906	6	4	39,73	184	53,45	45,8	2,46	4	0,41	0	0	65	32,31	9,231	28	12,5	35,29	4,25	51,11	37,18	74,19	62,64	93,62	71,43	77,26	73,33	77,78	55,81	44,44	63,64	82,98
Douglas Vieira	Sanfrecce Hiroshima	1532	7	1	34,45	189	53,57	38,22	1,35	5	0,43	1	0,06	42	38,1	16,667	19,23	25	14,29	2,76	44,68	29,14	67,89	54,32	81,71	62,28	71,8	60	38,46	42,86	52,38	46,15	68,29
Samuel	Oita Trinita	890	1	0	29,29	183	55	36,67	2,12	1	0,25	0	0	17	23,53	5,882	0	0	0	2,02	50	21,79	75	59,52	79,31	76,6	76	66,67	40	61,9	53,33	33,33	72
Paulo Josue	Kuala Lumpur City	3123	10	13	43,33	184	50,88	40,38	2,68	9	0,22	1	0,03	91	42,86	10,989	37,5	35,71	50	1,79	56,45	45,37	65,34	55,6	84,62	70,16	73,68	46,34	35,14	59,89	33,33	26,15	81,94
Rodrigo Pimpão		588	0	0	37,6	176	48,65	37,93	1,53	0	0,25	0	0	12	41,67	0	61,54	62,5	60	2,3	26,67	30,56	71,05	57,14	93,02	67,92	77,69	33,33	0	80	55,56	20	58,33
Liliu	Altos	643	3	1	35,29	181	57,14	27,59	0,98	3	0,39	1	0,14	15	53,33	20	14,29	0	50	2,1	53,33	36,07	69,9	63,16	85,19	70,97	74,19	66,67	0	66,67	57,14	0	66,67
Nádson		477	0	0	44,09	170	57,14	25	1,89	0	0,03	0	0	6	0	0	0	0	0	3,02	56,25	45,45	84,31	75	96,77	80,49	86,62	66,67	100	88,24	0	100	77,78
Paulo Vyctor	Sirens	1410	5	4	47,87	0	65,71	40	2,05	2	0,23	1	0,07	29	37,93	13,793	23,53	25	25	2,8	51,22	45,11	76,23	57,14	89,06	73,21	81,73	36,11	28,57	56,41	37,5	22,22	62,96
Bruno Catanhede	FLC Thanh Hoa	1949	11	0	42,24	185	54,76	47,41	1,29	11	0,41	1	0,05	88	38,64	12,5	35,71	50	33,33	3,42	58,11	36,41	69,72	47,92	98,15	70,71	77,45	40	33,33	51,43	52	0	84,85
Cleiton Silva	East Bengal	2224	12	2	38,89	174	53,85	39,08	1,7	9	0,43	1	0,04	61	39,34	19,672	15	22,22	9,09	1,78	54,55	35,96	83,38	72,18	91,43	84,72	85,74	78,95	50	79,55	50	42,86	87,8
Ricardo Bueno	Confiança	1703	2	1	41,37	183	51,16	44,19	1,36	1	0,26	1	0,05	36	22,22	5,556	28,57	16,67	37,5	2,39	61,36	41,25	82,68	73,96	87,88	84,17	84,94	70,59	25	75	52,17	20	72,09
Joao Morelli	HFX Wanderers FC	487	4	1	34,69	180	40	41,67	2,59	3	0,46	0	0	12	50	33,333	40	0	40	4,07	54,55	31,67	77,95	59,46	94,74	77,78	79,28	81,82	0	76,47	60	75	72,73
Rodrigo Dias	Da Nang	1392	7	0	44,47	190	61,54	54,18	1,49	5	0,32	1	0,06	40	42,5	17,5	33,33	0	20	1,36	38,1	24,74	74,83	56,06	86,59	80,77	76,06	62,5	40	62,86	57,14	33,33	80
Paulo Sérgio	ABC	1597	6	0	34,59	181	54,55	24,71	1,97	4	0,29	1	0,06	32	34,38	18,75	25	33,33	20	1,07	73,68	40,16	77,58	57,75	88,24	78,72	79,4	59,09	12,5	69,05	53,85	11,11	58,33
Gustavo Marmentini	Pyunik	919	1	0	37,19	179	56,67	30,56	1,76	1	0,14	0	0	17	41,18	5,882	41,67	66,67	33,33	2,55	30,77	28,7	77,58	59,62	87,1	83,08	80	66,67	33,33	64	57,89	66,67	65,63
Renatinho	Botafogo PB	1128	1	5	46,67	172	56,14	23,81	2,73	0	0,21	0	0	21	33,33	4,762	21,43	60	0	3,37	48,65	41,38	76,33	68,83	90,48	79,25	80,75	57,14	25	71,7	38,89	28,57	75
Dorielton	Bashundhara Kings	1476	14	2	49,78	185	56	53,01	1,57	11	0,54	1	0,07	39	58,97	28,205	36,36	37,5	100	2,39	71,88	48,86	83,56	57,5	94,34	82,72	86,08	62,5	33,33	76,19	46,15	50	58,82
Yuri Jonathan	Jeju United	2176	10	5	38,95	185	50,91	45,34	1,74	8	0,43	2	0,08	51	43,14	19,608	33,33	40	28,57	1,2	58,62	30	70,95	46,75	86,84	68,75	72,6	53,85	33,33	52,17	30	25	57,58
Careca	Gangneung City	510	2	1	52,69	184	63,64	18,18	1,2	2	0,37	0	0	21	38,1	9,524	20	20	0	4,8	54,17	56,14	82,12	73,33	92,31	85,19	85	71,43	0	87,5	66,67	0	80
Ramon	Sabah	3528	17	3	35,83	180	45,71	35,06	2,09	17	0,41	5	0,13	101	30,69	16,832	29,41	23,08	33,33	2,83	42,59	30,65	67,4	52	90,44	67,33	72,91	35,71	50	50,57	36,17	26,09	65,33
Jean Lucas	Avaí	764	3	2	38,46	175	50	33,33	1,77	2	0,28	0	0	30	26,67	10	13,33	0	18,18	4,24	55,56	34,07	82,61	71,03	89,8	87,31	87,8	72,09	42,86	75,41	53,33	30	92,54
Patrick Luan	Krumovgrad	1510	4	2	35,16	179	51,49	26,8	2,09	4	0,25	0	0	24	29,17	16,667	20	27,27	11,11	4,29	50	33,87	71,3	59,52	95,45	68,29	76,01	50	12,5	70	54,55	10	66,67
Aloísio	América Mineiro	2388	14	6	35,52	176	44,44	33,82	1,32	8	0,49	2	0,08	83	44,58	16,867	37,93	36,36	20	2,45	56,92	31,94	67,04	58,68	82,47	68,97	69,8	55,56	47,37	52,27	44,9	33,33	74,63
Jefferson da Silva	Shanghai Jiading Huilong	1961	6	2	40,16	188	62,5	40,88	1,33	5	0,28	2	0,09	34	41,18	17,647	22,22	33,33	16,67	2,16	72,34	39,45	79,09	54,12	94,66	84,62	80,74	66,67	40	60	34,78	28,57	77,78
Kaio Nunes		2196	4	2	47,45	180	54,92	30,77	2,49	1	0,21	0	0	29	34,48	6,897	21,88	17,65	26,67	5,19	53,06	46,12	69,36	66,15	75,61	68,22	73,91	58,33	25	60,32	41,3	33,33	75,36
Nilson	Nong Bua Pitchaya FC	2153	14	1	33,85	184	61,4	43,3	1,21	13	0,33	2	0,08	58	37,93	22,414	80	100	66,67	1,34	28,13	19,57	77,07	71,13	87,04	75,68	77,53	61,54	50	71,43	63,64	50	64,29
Stenio Junior	Chiangmai	1809	7	3	45,97	184	51,92	54,9	1,99	6	0,27	0	0	43	44,19	16,279	47,22	50	42,86	1,69	55,88	38,76	78,6	59,57	90,42	84,55	82,1	57,78	50	71,05	63,93	33,33	86,21
Gustavo Coutinho	Atlético GO	2865	14	3	30,17	182	36,99	30,29	1,73	10	0,29	4	0,13	57	49,12	24,561	30	22,22	36,36	1,92	37,7	27,98	71,17	53	87,6	68,18	73,54	33,33	12,5	51,16	31,03	6,67	70,59
Mattheus Oliveira	Farense	1843	5	2	50,6	186	57,69	43,1	3,86	5	0,12	0	0	37	51,35	13,514	35	38,46	28,57	1,32	70,37	48,08	83,62	70,28	96,24	87,64	87,5	57,89	28,57	69	50	13,33	79,17
Mosquito	Chiangmai United	2159	8	1	35,88	174	62,5	30,38	1,38	5	0,35	1	0,04	56	53,57	14,286	47,06	52,63	40	2,33	42,86	25,68	77,45	63,41	91,89	73,13	81,89	34,48	26,67	63,64	35,85	22,73	85,07
Mychell Chagas	Yanbian Longding	415	0	0	46,67	183	75	35,14	1,08	0	0,45	0	0	14	42,86	0	0	0	0	0,87	75	37,5	83,5	61,54	97,44	76	86	0	33,33	60	0	0	66,67
Wander	Chanthaburi	1186	3	1	36,34	190	46,43	48,24	1,29	1	0,53	0	0	47	29,79	6,383	37,5	0	50	3,41	42,22	32,16	72,64	47,5	89,47	69,7	74,73	57,14	0	55,56	43,75	20	58,82
Yann Rolim	Ituano	1848	4	4	44,67	173	53,44	27,27	2,87	3	0,21	0	0	37	40,54	10,811	34,15	22,58	70	3,46	57,14	44,86	74,57	65,14	95,29	74,56	81,05	45,65	56,25	60,22	49,18	45	80,95
J. Fernandes	Adanaspor	1574	5	1	34,98	182	54,24	38,6	2	3	0,34	0	0	34	44,12	14,706	36	47,06	12,5	3,58	40,68	26,7	70,42	56,99	83,13	73,13	74,42	58,54	14,29	59,65	33,33	10	72,73
Maxuell	Birkirkara	1478	9	2	36,36	182	62,75	37,36	1,25	3	0,75	0	0	44	43,18	13,636	55,56	100	42,86	1,94	50	26,89	69,54	66,67	80,49	63,64	72,08	38,46	25	75	63,64	0	61,29
Matheus Souza	Floriana	1592	7	1	33,93	188	52,27	27,14	2,21	6	0,4	3	0,19	28	60,71	21,429	58,33	50	66,67	2,9	54,35	31,29	80,56	70,83	93,41	75,31	84,44	45	33,33	46,88	35,29	25	63,33
Juninho	Kitchee	1696	9	3	40,54	180	55,26	36,59	1,64	5	0,51	1	0,1	35	54,29	14,286	29,17	33,33	23,81	8,48	59,09	39,56	72,79	60,78	94,19	68,09	81,82	73,68	0	79,31	47,62	66,67	85,45
Diogo	Johor Darul Ta'zim	776	7	5	38,01	188	63,16	52,17	1,62	7	0,55	1	0,12	24	41,67	29,167	30,77	40	28,57	2,2	47,37	31,78	81,42	63,89	88	84,38	84,83	50	60	69,23	60	50	100
Vágner Love	Sport Recife	5281	28	8	30,09	172	45	26,06	1,28	28	0,39	4	0,07	124	50,81	22,581	28,57	31,58	12,5	2,71	45,28	31,57	75,24	59,73	90,67	79,7	77,95	56,67	38,24	68,03	54,65	35	75,76
Derley	Prachuap	3401	7	5	37,5	183	54,32	37,23	1,3	4	0,35	2	0,05	81	39,51	8,642	17,24	14,29	21,43	3,2	53,72	35,91	80,28	67,54	91,23	82,07	84,69	52,63	33,33	78,26	47,06	29,41	80
Kleiton	Tombense	2210	3	3	40,14	180	58,06	39,84	3,23	3	0,17	1	0,04	46	28,26	6,522	20,69	11,11	25	3,44	53,09	37,13	79,36	65,75	91,96	79,63	84,89	64,29	57,14	66,67	40	55,56	63,89
Fernando Viana	Samut Prakan City	760	2	1	40,09	178	50	43,53	1,66	2	0,38	1	0,12	20	25	10	20	50	0	1,18	50	29,85	71,83	52,78	86,05	72,73	75,78	44,44	100	50	41,67	100	73,68
Cristiano	Ventforet Kofu	1053	2	1	38,25	183	51,16	35,44	2,91	2	0,14	0	0	24	25	8,333	35,71	28,57	37,14	2,22	50	41,3	70,38	60,67	89,22	62,83	78,72	51,06	42,86	61,36	44,44	25	79,73
Leo Fernandes	Tampa Bay Rowdies	553	4	2	41,67	183	43,75	29,41	2,44	3	0,7	1	0,16	16	50	25	38,46	33,33	0	3,42	61,9	46,15	80,24	63,49	94,52	81,03	84,55	53,33	25	71,43	44,44	28,57	75,76
Thiago Alagoano	Floresta EC	1813	1	1	31,86	171	54,39	0	1,22	1	0,14	0	0	26	42,31	3,846	50	50	46,67	1,75	39,39	30,43	80,15	67,37	94,51	80,31	85,92	46,88	30	71,7	47,06	27,78	80,95
Lohan	Criciúma	1852	5	2	38,25	191	39,29	39,19	1,37	5	0,48	3	0,15	51	33,33	9,804	33,33	33,33	33,33	1,03	66,67	36,43	78,32	62,07	93,26	78,89	80	61,54	40	68,97	33,33	50	79,41
Gabriel Honório	Seongnam	1854	8	5	39,86	184	57,14	17,65	1,31	7	0,29	0	0	61	37,7	13,115	50	40	51,52	10,83	52,47	40,08	74,61	58,2	89	79,42	77,87	62,26	35	65,48	57,89	36	83,17
Fabrício	Levante	2346	3	0	38,92	186	63,11	28,57	1,46	3	0,23	0	0	55	32,73	5,455	26,03	28,26	22,22	7,98	50,96	38,07	66,01	54,05	86,73	60,71	74,51	67,74	16,67	64,71	39,58	41,67	65,45
Felipe Garcia	Operário PR	3719	15	2	37,2	185	47,13	35,19	2,19	9	0,33	5	0,14	70	41,43	15,714	26,19	33,33	24,24	1,69	51,61	35,98	72,8	61,22	84,66	75,94	75,81	73,08	40	58,23	44,68	25	75,64
Jhon Cley	Công An Nhân Dân	1807	11	1	42,03	183	55	28,57	1,2	7	0,38	1	0,05	42	50	26,19	15,38	12,5	20	2,09	61,9	45,04	78,6	66,93	95,29	78,2	82,67	61,36	37,5	67,44	51,22	43,48	94,03
Devid	Kelantan United	1115	4	0	38,87	180	60	40,51	1,94	2	0,49	0	0	39	43,59	10,256	0	0	0	2,74	50	34,65	79,5	62,16	97,4	70,27	81,87	33,33	50	46,67	50	50	57,14
Brandão	Hoang Anh Gia Lai	2509	2	2	41,52	183	65,79	51,81	2,2	2	0,11	1	0,04	37	35,14	5,405	31,82	20	44,44	3,83	47,57	32,2	72,82	62,18	85,94	63,16	77,54	47,37	14,29	62,16	51,22	16,67	66,04
Adler	Stal Rzeszów	934	2	1	32,42	186	45,95	41,1	1,06	1	0,34	0	0	25	44	8	36,36	42,86	25	2,99	51,61	27,82	68,34	50,94	95,92	65,38	73,3	23,08	0	50	50	12,5	78,95
Everton	PSM	3062	7	4	43,42	186	64,62	43,13	1,48	4	0,27	1	0,03	58	44,83	10,345	32,26	26,67	37,5	4,56	52,32	40,93	71,63	64,1	88,89	69,57	74,83	60	45,83	69,84	49,21	50	79,03
Jonata	Visakha	2137	10	0	33,59	188	57,75	36,41	2,44	6	0,43	2	0,08	41	36,59	24,39	25	0	21,43	1,39	54,55	25,24	74,93	56,25	87,74	77,78	79,03	30	50	51,61	71,43	50	62,96
David Silva	Persib	3042	20	4	38,97	185	61,43	42,53	1,39	16	0,55	1	0,03	102	39,22	19,608	18,75	28,57	11,11	4,2	48,59	37,44	72,29	54,55	84,03	77,5	74,77	61,11	35,71	65,91	48,28	30	68,57
Kelvin	Ryūkyū	1507	2	1	30,03	175	61,76	24,19	1,43	2	0,12	0	0	20	30	10	27,91	28,57	28,57	5,2	47,13	29,74	78,15	62,35	88,55	75,34	85,86	36,36	28,57	86,84	40,48	25	83,33
Valdeci	Tacuary	954	2	0	45,11	169	63,16	21,05	3,6	2	0,18	0	0	24	41,67	8,333	38,46	33,33	46,15	8,66	55,06	42,33	70,79	60,16	90,38	74,12	77,99	36,67	35	61,4	46,67	30,43	79,71
R. Ramires	FK Auda	2448	14	1	26,26	178	48,19	25,79	1,69	11	0,51	1	0,04	80	51,25	17,5	0	0	0	2,32	38,1	20,16	79,62	67,24	87,66	77,89	83,38	46,15	55,56	60	52,94	33,33	61,29
A. Becker	Viktoria Köln	1423	8	0	38,31	197	56,6	52,38	2,34	8	0,5	1	0,06	26	61,54	30,769	0	0	0	1,01	43,75	22,34	75,08	61,7	87,91	75,95	75,61	66,67	33,33	78,26	28,57	33,33	46,15
Marcus Índio	Imabari	2785	10	9	40,66	173	55,68	40,91	2,84	10	0,32	3	0,1	103	35,92	9,709	42,31	27,27	46,15	8,6	53,76	38,13	73,43	66,53	80,6	70,61	76,93	53,19	43,33	72,55	52,48	41,94	79,87
Adriano Michael Jackson	Atlético Alagoinhas	600	2	0	32,38	172	50	28	1,05	2	0,35	1	0,15	14	35,71	14,286	50	0	50	2,1	35,71	30	78,13	45	96,77	90	81,11	25	0	50	50	0	71,43
Felype Hebert	Kalamata	1155	2	0	35,47	180	61,82	33,33	1,93	2	0,32	0	0	21	57,14	9,524	0	0	0	2,68	52	27,56	72	53,7	95	69,44	77,02	20	0	54,55	18,18	0	52,94
Amarildo	Resende	416	0	0	31,25	188	62,5	21,05	1,08	0	0,34	0	0	10	60	0	0	0	0	1,73	37,5	23,33	84,44	62,5	100	86,67	84,44	0	0	80	50	0	40
Bernardo		516	3	0	33,9	176	33,33	33,33	0,87	3	0,39	0	0	19	26,32	15,789	14,29	25	10	2,62	53,33	38,24	73,6	61,19	100	71,93	84,96	50	40	69,05	40	33,33	73,81
Éderson		538	1	0	39,34	171	58,33	29,17	1,84	1	0,18	1	0,17	11	18,18	9,091	28,57	100	16,67	1	66,67	44,44	76,15	54,17	95,35	75	80,56	66,67	100	56,25	44,44	60	75
Ramon Lopes		723	1	2	34,18	186	50	40,3	2,12	1	0,22	0	0	14	42,86	7,143	9,09	11,11	0	2,99	37,5	28,57	72,5	55,56	85,71	75,61	79,41	62,5	0	64,29	54,55	0	88,89
Wellington Paulista	América Mineiro	1106	9	0	33,33	180	38,1	40	1,72	7	0,84	1	0,09	33	48,48	27,273	40	40	0	0,69	50	31,25	75	58,97	94,12	70,45	77,86	62,5	66,67	70,83	58,82	66,67	81,25
Bruno Lopes	Maringá	1142	3	0	30,16	175	39,66	19,51	2,36	3	0,12	0	0	21	47,62	14,286	20	33,33	14,29	1,18	53,33	27,93	68,83	60,34	83,05	63,01	72,25	40	28,57	56,67	41,18	14,29	65,63
Jô	CSA	709	2	0	34,3	190	54,55	33,66	1,9	2	0,33	1	0,13	20	40	10	0	0	0	2,67	33,33	34,18	65,85	75	80	66,67	69,23	0	0	50	50	0	33,33
Álvaro	América RN	854	4	0	38,33	185	42,31	41,74	1,26	4	0,49	1	0,11	28	50	14,286	66,67	50	100	1,05	50	33,33	77,5	47,37	88,57	82,86	77,78	0	100	50	66,67	100	80
Léo Passos	Primavera SP	879	2	0	39,93	183	62,07	29,55	2,97	2	0,18	1	0,1	19	42,11	10,526	0	0	0	3,28	40,63	39,36	63,55	51,61	87,5	50	72,04	25	0	36,36	30	0	42,86
Nicolas	Figueirense	1125	3	0	41,41	180	56,82	31,75	1,18	3	0,36	1	0,08	26	38,46	11,538	26,83	28,57	25	4,29	62,75	46,15	66,84	58,54	88,24	65,52	78,15	0	33,33	62,5	53,57	33,33	70
Douglas Rosa	Sanna Khanh Hoa	2145	12	0	38,3	184	55	41,67	1,93	11	0,41	0	0	51	43,14	23,529	18,75	17,65	20	3,86	57,61	34,12	81,58	75	94,12	73,72	86,78	64,71	50	64,71	31,25	50	80
Stefan	Southern District	1532	14	0	43,28	180	78,57	38,46	2,22	8	0,74	2	0,25	36	52,78	22,222	100	100	100	1,98	68,75	35,29	73,37	59,52	83,72	74	73,68	54,55	0	48	66,67	0	86,96
João Marcos	Santa Clara	2025	7	1	31,98	180	49,18	29,81	1,16	7	0,36	0	0	45	48,89	15,556	0	0	0	1,73	48,72	30,5	80,31	80	90,09	74,51	81,42	50	0	78,57	76,92	0	77,78
W. Priori	Police Tero	1896	2	1	41,61	190	47,54	49,06	3,32	2	0,13	0	0	37	29,73	5,405	26,09	23,81	29,17	4,08	48,84	36,32	66,2	55,17	85,71	69,18	75,13	36,51	58,33	54,74	36,92	39,29	73,79
D. Vinicius	Duhok	1120	3	1	39,38	194	39,53	54,84	1,37	3	0,28	2	0,16	21	47,62	14,286	20	25	0	2,25	46,43	29,33	74,55	52,17	91,07	77,05	77,67	33,33	0	40	50	0	58,82
Victor Andrade	Juventude	529	0	0	50,57	178	58,33	38,46	0,85	0	0,19	0	0	12	16,67	0	13,33	14,29	0	10,89	65,63	53,64	74,02	50	95,83	79,63	83,49	25	40	60	53,33	50	93,75
Erikys	Heilongjiang Ice City	3407	21	7	44,85	182	59,84	50,26	2,11	18	0,5	2	0,05	138	42,75	15,217	37,1	37,74	42,86	6,63	56,57	42,36	75,19	59,86	90,43	78,08	80,21	56,14	46,67	60,29	58,9	38,89	81,74
M. Cruz	Nasaf	2057	6	1	30,16	187	41,18	29,32	1,65	4	0,29	3	0,18	37	45,95	10,811	60	0	60	1,71	53,57	28,48	81,94	71,43	97,18	78,85	82,69	75	25	63,64	69,23	25	56,25
K. Amarante	Tirana	1427	5	2	28,66	0	48,84	25,35	0,95	4	0,34	2	0,13	30	43,33	16,667	50	100	0	1,39	54,55	27,23	79,08	53,85	92,94	70	80,87	28,57	100	53,33	42,86	0	50
